Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions
HP,8.0,SSD,I7,Used,3200,Greater Accra
HP,8.0,SSD,I5,Brand New,12500,Greater Accra
Dell,8.0,HDD,I7,Used,3200,Greater Accra
MacBook,16.0,SSD,I7,Used,7500,Greater Accra
MacBook,4.0,SSD,I5,Used,3350,Greater Accra
Dell,4.0,HDD,I3,Used,1850,Greater Accra
Dell,8.0,SSD,I5,Used,3700,Ashanti
Dell,8.0,SSD,I7,Used,3800,Greater Accra
HP,8.0,HDD,I5,Used,1250,Greater Accra
HP,4.0,HDD,I3,Brand New,7500,Greater Accra
Dell,8.0,SSD,I5,Used,2500,Ashanti
Dell,8.0,SSD,I5,Used,3050,Greater Accra
Lenovo,8.0,SSD,I5,Brand New,4950,Ashanti
Dell,8.0,HDD,I5,Used,3100,Greater Accra
Acer,16.0,SSD,I7,Used,11500,Greater Accra
HP,8.0,SSD,I5,Used,3200,Greater Accra
Dell,8.0,HDD,I5,Used,2150,Greater Accra
HP,16.0,SSD,I7,Used,6600,Greater Accra
Dell,8.0,SSD,I5,Brand New,3350,Greater Accra
HP,8.0,SSD,I5,Used,3000,Greater Accra
Dell,8.0,SSD,I3,Used,1700,Greater Accra
Lenovo,8.0,SSD,I5,Used,3950,Ashanti
Lenovo,16.0,SSD,I7,Brand New,19500,Greater Accra
HP,12.0,SSD,I5,Brand New,11500,Greater Accra
Dell,16.0,SSD,I7,Used,11000,Greater Accra
Lenovo,8.0,SSD,I7,Used,3650,Greater Accra
MacBook,16.0,SSD,I5,Used,9000,Greater Accra
Lenovo,8.0,SSD,I5,Used,5700,Greater Accra
Dell,16.0,HDD,I7,Brand New,4850,Greater Accra
HP,8.0,SSD,I5,Used,5100,Greater Accra
Lenovo,8.0,HDD,I5,Used,2750,Greater Accra
MacBook,8.0,SSD,I5,Used,3500,Ashanti
MacBook,16.0,HDD,I7,Used,8400,Greater Accra
HP,4.0,HDD,I3,Unknown,1800,Greater Accra
Dell,8.0,SSD,I7,Used,3600,Greater Accra
Dell,12.0,SSD,I7,Used,4000,Greater Accra
Acer,4.0,HDD,I3,Brand New,1500,Ashanti
HP,8.0,HDD,I3,Used,1450,Greater Accra
Acer,8.0,SSD,I3,Brand New,4400,Greater Accra
Dell,8.0,SSD,I5,Used,4200,Greater Accra
HP,4.0,HDD,I3,Brand New,6700,Greater Accra
Lenovo,8.0,HDD,I5,Used,2000,Ashanti
HP,8.0,HDD,I5,Used,3600,Greater Accra
Asus,4.0,HDD,I7,Used,1500,Greater Accra
Acer,4.0,SSD,I3,Used,1799,Central Region
Asus,16.0,SSD,I7,Brand New,13500,Ashanti
Dell,16.0,HDD,I7,Used,1950,Greater Accra
HP,16.0,SSD,I7,Brand New,13999,Greater Accra
HP,8.0,SSD,I3,Used,3199,Western Region
HP,8.0,HDD,I3,Unknown,1800,Greater Accra
HP,16.0,SSD,I5,Used,3880,Greater Accra
Acer,8.0,HDD,I7,Used,1800,Greater Accra
Dell,8.0,SSD,I7,Unknown,5200,Greater Accra
Lenovo,8.0,SSD,I5,Used,3500,Ashanti
HP,8.0,SSD,I3,Brand New,4450,Ashanti
HP,16.0,SSD,I5,Brand New,13500,Greater Accra
HP,8.0,SSD,I5,Used,4200,Greater Accra
Dell,8.0,HDD,I5,Used,850,Greater Accra
Acer,8.0,SSD,I5,Brand New,10000,Greater Accra
HP,16.0,SSD,I5,Unknown,2800,Greater Accra
MacBook,8.0,SSD,I3,Used,8000,Greater Accra
Asus,16.0,SSD,I7,Brand New,11500,Greater Accra
MacBook,16.0,SSD,I9,Used,13500,Ashanti
Dell,12.0,SSD,I7,Brand New,3700,Ashanti
Lenovo,16.0,SSD,I5,Used,4300,Greater Accra
Lenovo,8.0,HDD,I5,Used,1850,Greater Accra
HP,8.0,SSD,I5,Brand New,11000,Greater Accra
HP,16.0,SSD,I7,Used,8000,Greater Accra
Lenovo,6.0,HDD,I3,Used,1350,Greater Accra
HP,8.0,SSD,I5,Used,4500,Greater Accra
Lenovo,4.0,HDD,I3,Used,2200,Greater Accra
Dell,16.0,SSD,I7,Brand New,12199,Greater Accra
HP,8.0,HDD,I5,Used,3800,Greater Accra
Lenovo,12.0,SSD,I7,Brand New,10000,Greater Accra
HP,16.0,SSD,I7,Used,10000,Ashanti
Dell,8.0,SSD,I5,Brand New,11000,Greater Accra
MacBook,4.0,SSD,I5,Used,1950,Greater Accra
Dell,12.0,SSD,I5,Used,4500,Greater Accra
HP,16.0,SSD,I7,Used,6800,Greater Accra
Lenovo,8.0,SSD,I5,Brand New,2650,Ashanti
Dell,8.0,SSD,I5,Used,5100,Greater Accra
HP,8.0,HDD,I5,Used,2400,Greater Accra
HP,4.0,HDD,I5,Used,1690,Greater Accra
Asus,16.0,SSD,I7,Used,8500,Greater Accra
MacBook,4.0,SSD,I5,Used,2600,Greater Accra
HP,8.0,SSD,I7,Unknown,2700,Ashanti
Dell,4.0,HDD,I3,Used,1600,Eastern Region
Lenovo,8.0,SSD,I5,Used,3500,Greater Accra
Dell,8.0,HDD,I3,Used,2200,Greater Accra
Acer,4.0,HDD,I3,Used,1700,Central Region
MacBook,8.0,SSD,I7,Used,4000,Greater Accra
Dell,8.0,SSD,I7,Used,4400,Greater Accra
Dell,8.0,HDD,I5,Used,2350,Greater Accra
HP,8.0,SSD,I5,Used,2400,Greater Accra
Dell,8.0,SSD,I7,Used,4200,Ashanti
HP,8.0,HDD,I5,Used,3900,Ashanti
Lenovo,4.0,SSD,I5,Used,1300,Greater Accra
HP,16.0,SSD,I7,Used,5900,Greater Accra
Acer,16.0,SSD,I5,Used,6350,Greater Accra
Dell,8.0,HDD,I5,Used,1350,Greater Accra
HP,8.0,SSD,I7,Brand New,9000,Greater Accra
HP,4.0,HDD,I3,Used,1900,Greater Accra
HP,16.0,SSD,I7,Used,8700,Greater Accra
HP,8.0,HDD,I7,Used,2000,Ashanti
Dell,8.0,SSD,I5,Used,3400,Greater Accra
MacBook,8.0,HDD,I5,Unknown,2100,Ashanti
Dell,8.0,SSD,I5,Used,2700,Greater Accra
Dell,8.0,SSD,I5,Used,5700,Greater Accra
Dell,4.0,HDD,I3,Used,1200,Greater Accra
Lenovo,8.0,SSD,I7,Used,4300,Ashanti
HP,16.0,HDD,I7,Used,3699,Western Region
MacBook,8.0,SSD,I5,Used,4500,Greater Accra
HP,8.0,SSD,I5,Brand New,10800,Greater Accra
HP,8.0,SSD,I7,Used,6500,Ashanti
Dell,4.0,HDD,I3,Used,3000,Ashanti
Asus,32.0,SSD,I9,Brand New,13999,Greater Accra
MacBook,6.0,HDD,I5,Used,2400,Greater Accra
HP,4.0,HDD,I3,Brand New,6200,Greater Accra
Dell,8.0,SSD,I7,Used,5000,Greater Accra
Dell,8.0,HDD,I7,Used,2900,Greater Accra
Acer,6.0,HDD,I3,Used,1300,Greater Accra
Dell,16.0,SSD,I7,Used,5100,Greater Accra
HP,8.0,SSD,I7,Used,2450,Greater Accra
HP,8.0,HDD,I3,Used,2200,Greater Accra
Dell,8.0,SSD,I5,Brand New,8900,Greater Accra
HP,8.0,SSD,I5,Brand New,4500,Greater Accra
Dell,16.0,SSD,I7,Brand New,18000,Greater Accra
Dell,16.0,SSD,I7,Used,5500,Greater Accra
Dell,8.0,SSD,I5,Used,2700,Greater Accra
Dell,8.0,HDD,I7,Used,2850,Greater Accra
Dell,4.0,HDD,I5,Used,2000,Western Region
HP,8.0,SSD,I5,Brand New,7838,Western Region
HP,32.0,SSD,I7,Used,9900,Greater Accra
HP,8.0,HDD,I5,Brand New,3699,Western Region
HP,4.0,HDD,I5,Used,3000,Greater Accra
HP,8.0,SSD,I7,Used,2800,Greater Accra
Dell,6.0,HDD,I7,Used,1550,Greater Accra
Lenovo,8.0,SSD,I5,Used,4000,Greater Accra
HP,8.0,SSD,I5,Used,3399,Central Region
Dell,8.0,HDD,I5,Used,2000,Greater Accra
HP,16.0,SSD,I7,Used,6000,Greater Accra
HP,8.0,SSD,I5,Brand New,8499,Greater Accra
HP,8.0,SSD,I5,Brand New,2800,Greater Accra
HP,8.0,SSD,I5,Brand New,9400,Greater Accra
